task_id,dataset_name,target_name,n_samples,n_features,missing_data,categorical_features,R2_RandomForestRegressor,MSE_RandomForestRegressor,R2_XGBRegressor,MSE_XGBRegressor
361234,abalone,rings,"4,177",8,0,1,0.53 +/- 0.02,0.47 +/- 0.04,0.46 +/- 0.02,0.52 +/- 0.01
361235,airfoil_self_noise,sound_pressure,"1,503",5,0,0,0.90 +/- 0.01,0.10 +/- 0.01,0.92 +/- 0.01,0.08 +/- 0.01
361236,auction_verification,verification.time,"2,043",7,0,2,0.99 +/- 0.00,0.02 +/- 0.00,0.99 +/- 0.01,0.01 +/- 0.01
361237,concrete_compressive_strength,strength,"1,030",8,0,0,0.88 +/- 0.01,0.12 +/- 0.01,0.90 +/- 0.01,0.10 +/- 0.01
361241,physiochemical_protein,RMSD,"45,730",9,0,0,0.64 +/- 0.00,0.36 +/- 0.00,0.59 +/- 0.01,0.41 +/- 0.01
361242,superconductivity,critical_temp,"21,263",81,0,0,0.91 +/- 0.00,0.09 +/- 0.00,0.91 +/- 0.00,0.09 +/- 0.00
361243,geographical_origin_of_music,latitude,"1,059",116,0,0,0.23 +/- 0.02,0.72 +/- 0.08,0.17 +/- 0.02,0.89 +/- 0.11
361244,solar_flare,c_class_flares,"1,066",10,0,8,-0.09 +/- 0.12,1.30 +/- 0.29,-0.35 +/- 0.16,1.43 +/- 0.20
361247,naval_propulsion_plant,gt_compressor_decay_state_coefficient,"11,934",14,0,0,0.99 +/- 0.00,0.01 +/- 0.00,0.99 +/- 0.00,0.01 +/- 0.00
361249,white_wine,quality,"4,898",11,0,0,0.46 +/- 0.01,0.54 +/- 0.02,0.40 +/- 0.01,0.60 +/- 0.02
361250,red_wine,quality,"1,599",11,0,0,0.44 +/- 0.02,0.57 +/- 0.04,0.38 +/- 0.03,0.62 +/- 0.06
361251,grid_stability,stab,"10,000",12,0,0,0.89 +/- 0.00,0.11 +/- 0.00,0.92 +/- 0.00,0.08 +/- 0.00
361252,video_transcoding,utime,"68,784",18,0,2,0.98 +/- 0.00,0.02 +/- 0.00,0.99 +/- 0.00,0.01 +/- 0.00
361253,wave_energy,energy_total,"72,000",48,0,0,0.83 +/- 0.00,0.17 +/- 0.00,0.96 +/- 0.00,0.04 +/- 0.00
361254,sarcos,V22,"48,933",21,0,0,0.97 +/- 0.00,0.03 +/- 0.00,0.98 +/- 0.00,0.02 +/- 0.00
361255,california_housing,medianHouseValue,"20,640",8,0,0,0.81 +/- 0.00,0.19 +/- 0.01,0.82 +/- 0.00,0.18 +/- 0.00
361256,cpu_activity,usr,"8,192",21,0,0,0.98 +/- 0.00,0.02 +/- 0.00,0.98 +/- 0.00,0.02 +/- 0.00
361257,diamonds,price,"53,940",9,0,3,0.98 +/- 0.00,0.02 +/- 0.00,0.98 +/- 0.00,0.02 +/- 0.00
361258,kin8nm,y,"8,192",8,0,0,0.68 +/- 0.01,0.32 +/- 0.02,0.73 +/- 0.01,0.27 +/- 0.01
361259,pumadyn32nh,thetadd6,"8,192",32,0,0,0.64 +/- 0.00,0.36 +/- 0.01,0.58 +/- 0.01,0.42 +/- 0.01
361260,miami_housing,SALE_PRC,"13,932",15,0,0,0.90 +/- 0.00,0.10 +/- 0.01,0.91 +/- 0.00,0.09 +/- 0.01
361261,cps88wages,wage,"28,155",6,0,4,0.15 +/- 0.02,0.91 +/- 0.13,0.09 +/- 0.08,0.89 +/- 0.12
361264,socmob,counts_for_sons_current_occupation,"1,156",5,0,4,0.75 +/- 0.03,0.25 +/- 0.06,0.73 +/- 0.04,0.24 +/- 0.08
361266,kings_county,price,"21,613",21,0,4,0.87 +/- 0.01,0.13 +/- 0.01,0.88 +/- 0.00,0.12 +/- 0.01
361267,brazilian_houses,total,"10,692",9,0,4,0.52 +/- 0.24,2.74 +/- 4.04,0.66 +/- 0.33,2.61 +/- 4.05
361268,fps_benchmark,FPS,"24,624",39,"69,696",13,0.99 +/- 0.00,0.01 +/- 0.00,1.00 +/- 0.00,0.00 +/- 0.00
361269,health_insurance,whrswk,"22,272",11,0,7,0.32 +/- 0.01,0.67 +/- 0.01,0.25 +/- 0.01,0.75 +/- 0.01
361272,fifa,wage_eur,"19,178",28,0,1,0.77 +/- 0.01,0.24 +/- 0.02,0.74 +/- 0.01,0.25 +/- 0.02
361616,Moneyball,RS,"1,232",10,"3,600",4,0.92 +/- 0.00,0.08 +/- 0.01,0.92 +/- 0.01,0.08 +/- 0.01
361617,energy_efficiency,heating_load,768,8,0,0,1.00 +/- 0.00,0.00 +/- 0.00,1.00 +/- 0.00,0.00 +/- 0.00
361618,forest_fires,area,517,12,0,2,-0.95 +/- 1.26,2.47 +/- 3.47,-3.17 +/- 7.36,4.65 +/- 5.46
361619,student_performance_por,G3,649,30,0,17,0.23 +/- 0.08,0.77 +/- 0.09,0.16 +/- 0.05,0.94 +/- 0.17
361621,QSAR_fish_toxicity,LC50,908,6,0,0,0.61 +/- 0.03,0.41 +/- 0.04,0.56 +/- 0.03,0.43 +/- 0.04
361622,cars,Price,804,17,0,0,0.94 +/- 0.01,0.06 +/- 0.01,0.93 +/- 0.01,0.07 +/- 0.01
361623,space_ga,ln_votes_pop,"3,107",6,0,0,0.63 +/- 0.01,0.36 +/- 0.05,0.65 +/- 0.01,0.36 +/- 0.05
